author,link,category,date of publication,number of tokens,number of words without punctuation,number of types,number of links inside the news,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,emotiveness,diversity
mrk,https://ceticismopolitico.com/2017/11/30/katia-abreu-diz-que-vai-colocar-sua-expulsao-em-uma-moldura-mas-nao-para-de-reclamar/,politica,2017-11-30,211,185,120,0,6,30,1,46,7,13,5,2,0,26,2.0,815,14.2308,4.40541,0.0,0.263158,0.648649
None,https://ceticismopolitico.com/2017/11/28/blog-esquerdista-da-a-entender-que-reclamar-de-dedada-no-futebol-e-sinal-de-homofobia/,sociedade_cotidiano,2017-11-28,356,300,187,0,2,62,1,75,13,25,7,0,0,30,3.29412,1321,17.6471,4.40333,0.0133333,0.277372,0.623333
None,https://ceticismopolitico.com/2017/11/28/alckmin-diz-que-por-ele-psdb-desembarca-mas-nao-explica-se-utilizara-o-aparelho-do-filme-mib/,politica,2017-11-28,274,224,150,0,8,39,3,64,9,18,5,1,0,14,3.57143,1075,16.0,4.79911,0.0,0.262136,0.669643
None,https://ceticismopolitico.com/2017/11/28/cara-de-pau-nao-tem-limites-ze-celso-aciona-mp-contra-silvio-santos/,politica,2017-11-28,319,291,185,0,3,42,0,84,12,11,5,0,0,23,2.33333,1341,24.25,4.60825,0.00343643,0.18254,0.635739
None,https://ceticismopolitico.com/2017/11/27/temer-resolve-o-problema-de-luislinda-liberdade-ainda-que-tardia/,politica,2017-11-27,162,133,96,0,2,20,0,36,9,8,1,0,0,12,2.63636,654,12.0909,4.91729,0.0,0.303571,0.721804
None,https://ceticismopolitico.com/2017/11/27/moro-esta-certo-ao-nao-se-arrepender-de-divulgacao-de-audios-de-lula-e-dilma/,politica,2017-11-27,223,193,129,0,0,34,1,49,11,10,2,3,0,23,2.14286,892,13.7857,4.62176,0.0,0.253012,0.668394
None,https://ceticismopolitico.com/2017/11/27/mp-pede-proibicao-de-filmagens-no-mam-e-acaba-praticando-atentado-contra-a-humanidade/,sociedade_cotidiano,2017-11-27,224,202,134,0,6,35,3,58,9,3,7,0,0,14,1.69231,963,15.5385,4.76733,0.0,0.129032,0.663366
None,https://ceticismopolitico.com/2017/11/25/hoje-completou-um-ano-da-morte-de-um-dos-psicopatas-mais-repulsivos-da-era-atual-fidel-castro/,politica,2017-11-25,217,184,125,0,1,25,1,45,10,22,4,0,0,10,2.0625,797,11.5,4.33152,0.0,0.457143,0.679348
None,https://ceticismopolitico.com/2017/11/25/palocci-vai-contar-que-lula-pagou-propina-a-ex-presidente-do-peru/,politica,2017-11-25,110,101,68,0,0,18,1,30,3,4,6,0,0,2,1.8,460,20.2,4.55446,0.0,0.145833,0.673267
None,https://ceticismopolitico.com/2017/11/24/dr-ray-peita-bolsonaro-chama-o-de-conservador-fake-em-entrevista-a-danilo-gentili-e-divide-a-direita/,politica,2017-11-24,289,254,163,0,0,56,8,64,11,18,11,1,0,20,2.5,1205,18.1429,4.74409,0.00787402,0.241667,0.641732
None,https://ceticismopolitico.com/2017/11/24/garotinho-ganha-premio-apos-teatro-sobre-surra-na-cadeia-vai-para-presidio-de-seguranca-maxima/,politica,2017-11-24,209,185,102,0,0,31,2,55,7,6,4,0,0,9,2.0,892,15.4167,4.82162,0.00540541,0.151163,0.551351
None,https://ceticismopolitico.com/2017/11/24/dilma-finge-solidariedade-a-katia-abreu-mas-nao-a-convida-para-o-pt/,politica,2017-11-24,262,235,134,0,10,38,1,65,6,19,3,0,0,24,2.7,1071,23.5,4.55745,0.00425532,0.242718,0.570213
None,https://ceticismopolitico.com/2017/11/24/gilmar-mendes-age-como-masoquista-ao-permitir-que-miller-fique-em-silencio-na-cpi/,politica,2017-11-24,284,257,152,0,12,48,5,76,7,6,11,0,0,12,2.25,1236,21.4167,4.80934,0.0,0.104839,0.59144
None,https://ceticismopolitico.com/2017/11/24/raquel-dodge-faz-o-que-janot-nao-fazia-pediu-a-prisao-da-senadora-petista-gleisi/,politica,2017-11-24,125,111,76,0,4,15,2,39,4,5,1,0,0,5,2.0,527,15.8571,4.74775,0.0,0.166667,0.684685
None,https://ceticismopolitico.com/2017/11/24/garotinho-se-supera-no-teatro-ao-chutar-parede-e-fingir-que-foi-lesionado-na-cadeia/,politica,2017-11-24,149,130,98,0,2,21,0,31,2,6,2,0,0,16,2.375,615,16.25,4.73077,0.00769231,0.153846,0.753846
None,https://ceticismopolitico.com/2017/11/23/advogado-alega-economia-de-dinheiro-publico-como-justificativa-para-tentar-tirar-joesley-da-cpi-nao-e-piada/,politica,2017-11-23,420,364,194,0,11,78,4,94,16,23,15,1,0,37,2.43478,1766,15.8261,4.85165,0.00274725,0.226744,0.532967
Josias Oliveira,https://afolhabrasil.com.br/politica/ostentou-no-facebook-e-o-juiz-aumentou-pensao-para-ex-mulher/,sociedade_cotidiano,2017-09-14,794,708,320,1,8,134,1,173,26,44,16,1,0,48,2.52941,3011,20.8235,4.25282,0.00564972,0.228013,0.451977
Josias Oliveira,https://afolhabrasil.com.br/politica/joesley-chorou-ao-entrar-na-cela-e-esta-sem-comer-e-tomar-banho/,politica,2017-09-11,205,185,128,0,1,40,1,47,6,6,8,0,0,12,1.81818,877,16.8182,4.74054,0.0,0.137931,0.691892
Josias Oliveira,https://afolhabrasil.com.br/politica/papuda/,sociedade_cotidiano,2017-09-08,436,383,243,0,2,59,2,118,32,15,12,0,2,22,2.20833,1932,15.9583,5.04439,0.00259067,0.265537,0.634465
Josias Oliveira,https://afolhabrasil.com.br/politica/o-partido-mais-corrupto/,politica,2017-09-08,504,449,241,0,24,59,2,142,21,14,9,0,0,15,3.4375,2202,28.0625,4.90423,0.00442478,0.174129,0.536748
Josias Oliveira,https://afolhabrasil.com.br/politica/malafaia-chama-eleitores-de-bolsonaro-de-gays-enrustidos/,politica,2017-08-29,164,151,102,0,4,20,3,52,7,6,1,0,0,10,1.3,773,15.1,5.11921,0.0,0.180556,0.675497
Josias Oliveira,https://afolhabrasil.com.br/politica/bolsonaro-vai-militarizar-todas-as-escolas-do-brasil-em-4-anos/,politica,2017-08-28,645,539,342,3,4,86,7,166,37,16,16,0,0,31,3.65517,2685,18.5862,4.98145,0.0,0.210317,0.634508
Josias Oliveira,https://afolhabrasil.com.br/politica/acabou-maria-do-rosario-tirou-bolsonaro-das-eleicoes-2018/,politica,2017-08-15,524,452,256,1,10,62,4,130,22,26,9,0,0,28,3.0,2261,18.8333,5.00221,0.0,0.25,0.566372
Josias Oliveira,https://afolhabrasil.com.br/politica/o-proximo-presidente-sera-de-centro-direita-diz-cientista-politico/,politica,2017-08-12,2625,2294,875,0,16,426,28,537,140,163,67,3,2,203,2.58594,10610,17.9219,4.62511,0.00130776,0.314642,0.38143
Josias Oliveira,https://afolhabrasil.com.br/politica/marido-de-dilma-acaba-de-morrer-sera-que-mataram/,politica,2017-08-12,234,200,134,0,3,34,1,61,9,5,6,0,0,9,2.26667,1050,13.3333,5.25,0.0,0.147368,0.67
Josias Oliveirs,https://afolhabrasil.com.br/politica/sobrinho-atira-no-tio-apos-galinhas-comerem-seus-pes-de-maconha/,politica,2017-08-11,229,206,135,0,1,40,1,56,6,7,10,0,0,14,1.76923,912,15.8462,4.42718,0.0,0.135417,0.65534
Josias Oliveira,https://afolhabrasil.com.br/politica/temer-esta-articulando-candidatura-de-doria-para-presidente-no-pmdb/,politica,2017-08-11,468,428,221,2,15,68,1,128,23,16,5,0,0,24,1.48148,2027,15.8519,4.73598,0.0,0.19898,0.516355
Josias Oliveira,https://afolhabrasil.com.br/politica/deputada-maria-do-rosario-e-intimada-pelo-stf-em-processo-de-bolsonaro/,politica,2017-08-10,296,251,156,4,8,35,0,80,9,8,3,0,0,11,3.75,1183,20.9167,4.71315,0.0,0.147826,0.621514
Josias Oliveira,https://afolhabrasil.com.br/politica/ciro-gomes-ataca-bolsonaro-doria-dilma-e-lula/,politica,2017-08-10,751,656,346,0,16,112,5,176,31,35,18,3,1,49,3.06452,3072,21.1613,4.68293,0.00457317,0.229167,0.527439
Josias Oliveira,https://afolhabrasil.com.br/politica/joao-doria-esta-deixando-o-psdb-saiba-qual-sera-o-novo-partido/,politica,2017-08-09,343,311,194,0,11,43,1,98,22,10,5,0,0,14,2.0,1506,19.4375,4.84244,0.0,0.22695,0.623794
Josias Oliveira,https://afolhabrasil.com.br/politica/movimento-ovos-na-cara-e-versao-atualizada-do-movimento-cara-pintada/,politica,2017-08-08,470,421,240,0,5,69,2,126,21,15,5,0,0,21,1.81481,1928,15.5926,4.57957,0.0,0.184615,0.570071
Josias Oliveira,https://afolhabrasil.com.br/politica/deus-mandou-votar-favor-de-temer-disseram-deputados-evangelicos/,politica,2017-08-06,227,194,136,0,3,30,1,62,9,9,3,0,0,12,3.3,1010,19.4,5.20619,0.0,0.195652,0.701031
Josias Oliveira,https://afolhabrasil.com.br/politica/deputada-chamada-de-gostosa-no-plenario-vai-processar-deputado-tarado/,politica,2017-08-05,201,175,118,0,6,28,1,54,12,4,6,1,0,9,2.6,850,17.5,4.85714,0.0,0.195122,0.674286
Josias Oliveira,https://afolhabrasil.com.br/politica/temer-vai-punir-sergio-reis-e-tiririca-por-traicao/,politica,2017-08-04,377,333,193,0,10,55,2,97,7,20,8,4,0,22,2.44444,1537,18.5,4.61562,0.0,0.177632,0.57958
Josias Oliveira,https://afolhabrasil.com.br/politica/deputado-tiririca-temer-nao-comprou-minha-honra/,politica,2017-08-02,229,204,139,0,1,41,0,51,10,15,6,6,0,26,1.31579,950,10.7368,4.65686,0.0,0.271739,0.681373
Josias Oliveira,https://afolhabrasil.com.br/politica/pepe-e-nenem-apoiam-bolsonaro-e-viram-alvo-de-odio-dos-movimentos-gay-e-negro/,politica,2017-08-02,524,450,252,0,4,104,5,105,24,22,20,1,1,51,2.96,1999,18.0,4.44222,0.013245,0.220096,0.56
Josias Oliveira,https://afolhabrasil.com.br/politica/veja-quem-sera-o-polemico-vice-de-bolsonaro-nas-eleicoes-2018/,politica,2017-07-31,371,305,186,0,7,57,4,86,15,14,9,1,0,26,2.75,1460,12.7083,4.78689,0.0,0.202797,0.609836
Josias Oliveira,https://afolhabrasil.com.br/politica/lula-morreu-pesquisa-mostra-como-lula-morreu-politicamente/,politica,2017-07-30,558,491,266,0,2,81,4,123,22,38,8,0,0,28,2.68,2403,19.64,4.89409,0.00202429,0.294118,0.541752
Folha do Brasil,https://afolhabrasil.com.br/politica/rivotril-mata-mais-que-cocaina-cuidado/,sociedade_cotidiano,2017-07-24,333,289,183,0,3,56,2,82,16,16,12,0,0,22,2.31579,1486,15.2105,5.14187,0.0,0.231884,0.633218
Josias Oliveira,https://afolhabrasil.com.br/politica/bolsonaro-esculacha-jornalista-da-veja/,politica,2017-07-23,805,714,384,0,5,152,10,157,42,40,17,16,2,95,1.93617,3217,15.1915,4.5056,0.0,0.265372,0.537815
Josias Oliveira,https://afolhabrasil.com.br/politica/jean-wyllys-acusa-juiz-sergio-moro-de-preconceito-e-pode-perder-mandato/,politica,2017-07-14,338,303,167,0,2,51,1,91,19,11,9,0,0,15,2.1875,1406,18.9375,4.64026,0.0,0.211268,0.551155
